,X,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,XLogP.1,Ro5,Ghose,Veber,Blood,Skin,Brain,Testis,AdiposeTissue,Muscle,Nerve,BloodVessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,Vagina,Stomach,AdrenalGland,Colon,Prostate,Spleen,Liver,FallopianTube,Ovary,Breast,Bladder,CervixUteri,SmallIntestine,SalivaryGland,lossFreq,maxBtwn,maxDegree,nTargets,wQED,response,PC1,PC2,PC3
1,Bicalutamide,430.0610405,2.70929555,2,5,107.26,0,2,6,96.5895,0.00928,0,0,1,0.01395746693,2.770787954,0.2941032052,3.129991651,4.764630795,1.943944931,2.251020789,3.797863245,2.428492069,1.021457791,0.7402314544,1.083686352,1.957008362,1.006197065,9.231753349,0.3268194497,9.384143353,0.7970030904,0.7233160138,0.4380205423,9.980841637,0.3498943895,8.380415916,7.810228109,6.114907742,5.3550632,3.292177677,10,0.5818035603,0.9145842791,0.5977011494,938299.3253,488,1,0.458,1,-1.499577186,3.077688171,-0.3788757482
2,Dexamethasone,392.1999022,1.68156968,3,5,94.83,0,4,2,102.4929,0.0505,0,0,1,10,10,5.496713638,10,10,10,10,10,10,10,10,10,10,10,10,4.402533054,10,10,10,10,10,10,4.75985527,10,10,10,10,10,10,10,0.5090909091,256392.7478,268,4,0.332,1,6.84965249,-0.4468217095,0.4493159038
3,Vapreotide,1130.483013,0.7573738634,13,11,350.64,0,7,18,306.2041,0.00399,1,1,1,0.01787237264,0.2042883262,4.074103355,0.5792875886,2.646581173,0.4410890639,1.472784579,0.4968237877,2.882454157,0.3329204619,0.4535430968,2.188902736,1.8031106,10,1.571460485,0.3445118368,1.325667977,1.047088504,1.741468966,0.6842722297,1.463438869,6.320471287,0.5305307806,1.817511976,0.1773455739,1.937250137,1.079408169,2.67269659,0.8211318851,0.7655540705,0.4861878453,92842.51597,20,3,0.956,0,-3.766399796,0.04309729436,-0.9699042183
4,Prednisone,358.1780239,1.658504178,2,5,91.67,0,4,2,97.5681,0.111,0,0,1,6.519165516,10,5.496713638,4.301594973,10,10,10,9.420459747,4.368388176,10,6.618411541,2.70279932,8.644962311,8.877725124,6.923449516,2.976455688,7.945681095,4.709535599,3.800735474,3.700628638,10,5.595084667,10,6.586448193,10,10,6.734411716,7.282115936,5.538618088,5.745376587,0.4444444444,256392.7478,268,2,0.211,1,3.611349294,1.041179328,0.1326740192
5,Docetaxel,807.3466054,2.916790955,5,10,224.45,0,6,13,203.9017,0.0127,1,1,1,3.259106874,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.515555382,10,10,10,10,10,10,10,0.6918918919,243334.2738,1034,5,0.853,1,7.13342197,-0.124513517,-0.784510955
6,Celecoxib,381.075882,4.009441774,1,3,77.98,0,3,4,92.2342,0.00503,0,0,1,3.437290668,7.878035307,10,9.615308285,6.825484753,6.113112926,7.358953953,7.157627106,5.206682205,8.78080368,7.684192657,7.9600842,8.471541405,7.995280266,8.347439289,6.235918522,6.912706375,8.155344009,9.065440178,9.184682846,7.761484623,8.485146523,4.271699667,8.087986231,7.902983665,7.133266926,8.335753441,8.0826931,10,7.827369213,0.4705882353,83205.36441,142,2,0.257,1,4.367380667,-0.6758693121,-0.4059586805
7,Tacrolimus,803.4819767,5.594120193,3,11,178.36,0,4,7,215.6203,0.00402,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5555555556,43650.84479,68,1,0.804,1,7.460322745,-0.7059190306,-0.5662501631
8,Cytarabine,243.0855205,-2.797517284,4,7,128.61,0,2,2,54.5448,43.8,0,1,1,4.744058609,4.934298277,7.653360367,10,3.977080822,7.507356167,4.7747612,3.106850863,4.960781574,4.583138943,3.511733055,3.827021837,5.185718775,10,4.725462437,3.398927927,5.956421614,4.096060753,5.530449152,3.091706634,9.075609684,6.122698545,4.637019157,4.757555485,6.178425312,5.616961002,3.52810216,4.682060719,4.021503448,5.831629276,0.5555555556,5081.478659,40,1,0.536,1,1.07808555,-0.6019837973,-1.622717852
9,Rosiglitazone,357.1147122,2.446347899,1,5,71.53,0,3,7,97.7899,0.038,0,0,1,10,10,8.472581863,10,10,7.868625641,6.174320459,9.66242218,7.304772377,10,6.142457008,10,7.770501375,6.060421228,7.205866814,2.534630537,6.633232117,6.403473854,10,10,6.622997046,7.832043171,2.257158637,8.292957783,7.543433189,10,10,8.491678238,6.503117085,8.052556038,0.4476190476,75952.25624,146,2,0.175,0,4.699365955,-0.8361591262,0.2746471522
10,Hydroxyurea,76.02727738,-1.367015589,3,2,75.35,0,0,0,14.9072,269,0,1,1,2.557205439,10,6.049937725,10,10,10,9.591784954,10,6.274534225,8.821902275,10,4.482263088,7.255313396,8.143508434,9.191594124,5.044244289,10,8.775849342,10,9.596551895,8.324002266,7.574364901,3.06882298,8.300904036,9.692745209,10,10,10,8.224434853,10,0.4166666667,17112.18091,578,1,0.766,1,5.392360193,0.400869063,0.3504878818
