"","MolecularWeight","XLogP","HydrogenBondDonorCount","HydrogenBondAcceptorCount","PolarSurfaceArea","FormalCharge","NumRings","RotatableBondCount","Refractivity","XLogP","Ro5","Ghose","Veber","Blood","Skin","Brain","Testis","AdiposeTissue","Muscle","Nerve","BloodVessel","Heart","Lung","Esophagus","Kidney","Thyroid","Pituitary","Uterus","Pancreas","Vagina","Stomach","AdrenalGland","Colon","Prostate","Spleen","Liver","FallopianTube","Ovary","Breast","Bladder","CervixUteri","SmallIntestine","SalivaryGland","lossFreq","maxBtwn","maxDegree","nTargets","wQED","response"
"Bicalutamide",430.061040456,2.70929555,2,5,107.26,0,2,6,96.5895,0.00928,0,0,1,0.013957466930151,2.77078795433045,0.29410320520401,3.12999165058136,4.76463079452515,1.94394493103027,2.25102078914642,3.79786324501038,2.42849206924438,1.02145779132843,0.740231454372406,1.08368635177612,1.95700836181641,1.00619706511497,9.2317533493042,0.326819449663162,9.38414335250854,0.797003090381622,0.723316013813019,0.438020542263985,9.98084163665771,0.349894389510155,8.38041591644287,7.81022810935974,6.11490774154663,5.35506319999695,3.29217767715454,10,0.581803560256958,0.914584279060364,0.597701149425287,938299.325316589,488,1,0.458,0
"Dexamethasone",392.199902243,1.68156967966667,3,5,94.83,0,4,2,102.4929,0.0505,0,0,1,10,10,5.49671363830566,10,10,10,10,10,10,10,10,10,10,10,10,4.40253305435181,10,10,10,10,10,10,4.75985527038574,10,10,10,10,10,10,10,0.509090909090909,256392.74781158,268,4,0.332,0
"Vapreotide",1130.483013278,0.757373863391517,13,11,350.64,0,7,18,306.2041,0.00399,1,1,1,0.0178723726421595,0.204288326203823,4.07410335540771,0.579287588596344,2.64658117294312,0.441089063882828,1.4727845788002,0.496823787689209,2.88245415687561,0.332920461893082,0.453543096780777,2.18890273571014,1.80311059951782,10,1.57146048545837,0.344511836767197,1.32566797733307,1.04708850383759,1.74146896600723,0.684272229671478,1.46343886852264,6.32047128677369,0.530530780553818,1.81751197576523,0.17734557390213,1.93725013732911,1.07940816879272,2.67269659042358,0.821131885051727,0.765554070472717,0.486187845303867,92842.5159709389,20,3,0.956,0
"Prednisone",358.178023942,1.658504178,2,5,91.67,0,4,2,97.5681,0.111,0,0,1,6.51916551589966,10,5.49671363830566,4.30159497261048,10,10,10,9.42045974731445,4.36838817596436,10,6.61841154098511,2.70279932022095,8.64496231079102,8.87772512435913,6.92344951629638,2.97645568847656,7.94568109512329,4.70953559875488,3.80073547363282,3.70062863826751,10,5.59508466720581,10,6.58644819259644,10,10,6.73441171646118,7.2821159362793,5.53861808776855,5.74537658691406,0.444444444444444,256392.74781158,268,2,0.211,1
"Docetaxel",807.346605409,2.916790955,5,10,224.45,0,6,13,203.9017,0.0127,1,1,1,3.25910687446594,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.5155553817749,10,10,10,10,10,10,10,0.691891891891892,243334.273788185,1034,5,0.853,1
"Celecoxib",381.075882012,4.00944177433333,1,3,77.98,0,3,4,92.2342,0.00503,0,0,1,3.43729066848755,7.87803530693054,10,9.61530828475952,6.82548475265503,6.11311292648315,7.3589539527893,7.15762710571289,5.2066822052002,8.78080368041992,7.6841926574707,7.9600841999054,8.47154140472412,7.99528026580811,8.34743928909301,6.2359185218811,6.91270637512207,8.15534400939941,9.06544017791748,9.18468284606934,7.76148462295532,8.48514652252198,4.27169966697693,8.08798623085022,7.90298366546631,7.13326692581177,8.33575344085693,8.08269309997559,10,7.82736921310425,0.470588235294118,83205.3644142843,142,2,0.257,0
"Tacrolimus",803.481976677,5.59412019333334,3,11,178.36,0,4,7,215.6203,0.00402,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.555555555555556,43650.8447893288,68,1,0.804,0
"Cytarabine",243.085520541,-2.79751728433333,4,7,128.61,0,2,2,54.5448,43.8,0,1,1,4.74405860900879,4.93429827690125,7.65336036682129,10,3.97708082199097,7.5073561668396,4.77476119995118,3.10685086250305,4.96078157424927,4.58313894271851,3.51173305511475,3.8270218372345,5.18571877479553,10,4.72546243667603,3.39892792701721,5.95642161369324,4.09606075286865,5.5304491519928,3.09170663356781,9.07560968399048,6.12269854545593,4.63701915740966,4.75755548477172,6.17842531204224,5.61696100234986,3.52810215950012,4.68206071853638,4.02150344848633,5.83162927627563,0.555555555555556,5081.47865922361,40,1,0.536,0
"Rosiglitazone",357.114712179,2.44634789860569,1,5,71.53,0,3,7,97.7899,0.038,0,0,1,10,10,8.47258186340332,10,10,7.86862564086914,6.17432045936584,9.66242218017578,7.30477237701416,10,6.14245700836182,10,7.77050137519837,6.06042122840881,7.20586681365966,2.53463053703308,6.63323211669922,6.40347385406494,10,10,6.62299704551697,7.83204317092896,2.25715863704681,8.29295778274536,7.54343318939209,10,10,8.49167823791504,6.50311708450317,8.05255603790283,0.447619047619048,75952.2562377524,146,2,0.175,0
"Hydroxyurea",76.027277382,-1.367015589,3,2,75.35,0,0,0,14.9072,269,0,1,1,2.55720543861389,10,6.04993772506714,10,10,10,9.59178495407104,10,6.27453422546387,8.82190227508545,10,4.48226308822632,7.25531339645385,8.14350843429565,9.19159412384034,5.04424428939819,10,8.77584934234619,10,9.5965518951416,8.32400226593018,7.57436490058898,3.06882297992706,8.30090403556824,9.69274520874023,10,10,10,8.2244348526001,10,0.416666666666667,17112.1809134262,578,1,0.766,0
